CODELIST_ID	TERM_ID	TERM_SYNONYM	SYNONYM_TYPE	SYNONYM_SOURCE
C77530	C106538	LE/CpbHsd	NARROW	VX
C77530	C106573	Crl:CFW(R)(SW)BR VAF/Plus	NARROW	VX
C77530	C106573	NMRI KFM-Han	RELATED	VX
C77530	C114342	Lister black hooded: Crl LIS BR	NARROW	VX
C77530	C114344	Albino NZW	RELATED	VX
C77530	C114344	Chbb:NZW (SPF)	RELATED	VX
C77530	C114344	Chbblbm: NZW (SPF)	RELATED	VX
C77530	C114344	Crl:KBL(NZW)BR	NARROW	VX
C77530	C114344	Crl:KBL/NZW	RELATED	VX
C77530	C114344	HC:NZW	NARROW	VX
C77530	C114344	Hra:(NZW)SPF	NARROW	VX
C77530	C114344	HsdIf:NZW	NARROW	VX
C77530	C114344	HsdlF:NZW	NARROW	VX
C77530	C114344	New Zealand White	RELATED	VX
C77530	C114344	New Zealand White (SPF)	NARROW	VX
C77530	C114344	New Zealand White rabbits (HsdIF:NZW)	NARROW	VX
C77530	C114344	New Zealand White substrain Crl:NZW/KblBR	NARROW	VX
C77530	C114344	New Zealand White substrain HsdIF:NZW	NARROW	VX
C77530	C114344	New Zealand White substrain Hsdif:NZW	NARROW	VX
C77530	C114344	New Zealand White(Hra:(NZW)SPF)	RELATED	VX
C77530	C114344	New Zealand w h i t e substrain HsdIf : NZW	NARROW	VX
C77530	C114344	New Zealand white	RELATED	VX
C77530	C114344	New Zealand white substrain HsdIf:NZW	NARROW	VX
C77530	C114344	New Zeland	RELATED	VX
C77530	C114344	New zealand white	RELATED	VX
C77530	C117982	Domestic	EXACT	VX
C77530	C14232	Cynomoigus	RELATED	VX
C77530	C14232	Cynomolgus	EXACT	VX
C77530	C14232	Cynomolgus (Macaca Fascicularis)	EXACT	VX
C77530	C14232	Cynomolgus (Macaca fascicularis)	EXACT	VX
C77530	C14232	Cynomolgus (macaca fascicularis)	EXACT	VX
C77530	C14232	Cynomolgus (macaca fascicularis), purpose-bred	EXACT	VX
C77530	C14232	Cynomolgus monkey	EXACT	VX
C77530	C14232	Cynomolgus monkey (Macaca fascicularis)	EXACT	VX
C77530	C14232	Cynomolgus monkey (Macaca fascicularis) purpose bred animals	EXACT	VX
C77530	C14232	Cynomolgus monkeys	EXACT	VX
