CODELIST_ID	TERM_ID	TERM_SYNONYM	SYNONYM_TYPE	SYNONYM_SOURCE
C85493	C102356	AI (Day47/Day1)	RELATED	VX
C85493	C102356	AI (Day90/Day1)	RELATED	VX
C85493	C102356	ARAUC	EXACT	SEND
C85493	C102356	AUC ratio	RELATED	VX
C85493	C102356	AUC(0-24) accumulation ratio	EXACT	VX
C85493	C102356	AUC(0-24)ss	RELATED	VX
C85493	C102356	AUC(0-24h)(Day 15/Day 1)	RELATED	VX
C85493	C102356	AUC(0-42)	RELATED	VX
C85493	C102356	AUC(0-8/24)	RELATED	VX
C85493	C102356	AUC(0-8/24) (AZ13263197)	RELATED	VX
C85493	C102356	AUC(0.0833-24h) (Day 15/Day 1)	RELATED	VX
C85493	C102356	AUC(0.0833-24h) (Day 17/Day 1)	RELATED	VX
C85493	C102356	AUC(Day 14/Day 0)	RELATED	VX
C85493	C102356	AUC(Day 21/Day 0)	RELATED	VX
C85493	C102356	AUC(Day 28)/AUC(Day 0)	RELATED	VX
C85493	C102356	AUC(day 28)/AUC(Day 0)	RELATED	VX
C85493	C102356	AUC*	EXACT	VX
C85493	C102356	AUCday14/AUCday0	RELATED	VX
C85493	C102356	Accumulation factor Day 7/Day 1	RELATED	VX
C85493	C102356	Accumulation factors (AUC)	EXACT	VX
C85493	C102356	Accumulation index	RELATED	VX
C85493	C102356	Accumulation ratio (AUC24 on Day 8/AUC24 on Day 1)	RELATED	VX
C85493	C102356	Accumulation ratio for AUC24 (RacAUC(24)d28/d1)	RELATED	VX
C85493	C102356	Accumulation ratios (AUC)	EXACT	VX
C85493	C102356	Composite AUC(0-24h)	RELATED	VX
C85493	C102356	Linearity AUC	RELATED	VX
C85493	C102356	MR-2 (AUC(0-24)_(BAY 43-9006)/AUC(24)_(BAY 67-3472)	RELATED	VX
C85493	C102356	R A3 (AUC_Day 30/AUC_Day 1	RELATED	VX
C85493	C102356	RA1	RELATED	VX
C85493	C102356	RA3	RELATED	VX
C85493	C102356	Ra1	RELATED	VX
C85493	C102356	Ra2	RELATED	VX
C85493	C102356	Ra3	RELATED	VX
C85493	C102356	Rac	RELATED	VX
C85493	C102356	Rac ( AUC 24 Day7/Day1)	RELATED	VX
C85493	C102356	Rac (AUC 24 day7/AUC 24 day1)	RELATED	VX
C85493	C102356	Rac (AUC)	RELATED	VX
C85493	C102356	Rac (AUC24 Day 7 / AUC24 Day 1)	RELATED	VX
C85493	C102356	Rac (AUC24 on Day 8/AUC24 on Day 1)	RELATED	VX
C85493	C102356	Rac (AUC24Day7/AUC24Day1)	RELATED	VX
C85493	C102356	Rac (Day 7/ Day 1)	RELATED	VX
C85493	C102356	Rac (day1/day7)	RELATED	VX
C85493	C102356	Rac (day7/day1)	RELATED	VX
C85493	C102356	Rac: AUC24 on Day 7/ AUC24 on Day 1	RELATED	VX
C85493	C102357	ARCMAX	EXACT	SEND
C85493	C102357	Accumulation Ratio (C24h)	RELATED	VX
C85493	C102357	Accumulation factor(Cmax)	RELATED	VX
C85493	C102357	Accumulation ratio [Cmax Day7/Cmax Day1] (R Cmax)	RELATED	VX
