CODELIST_ID	TERM_ID	TERM_NAME	TERM_DEFINITION
C66729	C102399	INTRAJEJUNAL	Administration into the jejunum.
C66729	C102400	INTRAPALATAL	Administration into the palate.
C66729	C111326	TRANSMAMMARY	Administration by ingestion of colostrum or breast milk.
C66729	C112396	PERIVENOUS	Administration into the area surrounding a vein. (NCI)
C66729	C119548	INTRAPARENCHYMAL	Administration within or into the parenchyma of a targeted organ.		
C66729	C28161	INTRAMUSCULAR	Administration within a muscle. (FDA)
C66729	C38192	AURICULAR (OTIC)	Administration to or by way of the ear. (FDA)
C66729	C38193	BUCCAL	Administration directed toward the cheek, generally from within the mouth. (FDA)
C66729	C38194	CONJUNCTIVAL	Administration to the conjunctiva, the delicate membrane that lines the eyelids and covers the exposed surface of the eyeball. (FDA)
C66729	C38197	DENTAL	Administration to a tooth or teeth. (FDA)
C66729	C38198	SOFT TISSUE	Administration into any soft tissue. (FDA)
C66729	C38200	HEMODIALYSIS	Administration through hemodialysate fluid. (FDA)
C66729	C38203	IONTOPHORESIS	Administration by means of an electric current where ions of soluble salts migrate into the tissues of the body. (FDA)
C66729	C38205	ENDOCERVICAL	Administration within the canal of the cervix uteri. Synonymous with the term intracervical. (FDA)
C66729	C38206	ENDOSINUSIAL	Administration within the nasal sinuses of the head. (FDA)
C66729	C38207	INTRATHORACIC	Administration within the thorax (internal to the ribs); synonymous with the term endothoracic. (FDA)
C66729	C38208	ENDOTRACHEAL	Administration directly into the trachea. Synonymous with the term intratracheal. (FDA)
C66729	C38209	ENTERAL	Administration directly into the intestines. (FDA)
C66729	C38210	EPIDURAL	Administration upon or over the dura mater. (FDA)
C66729	C38211	EXTRA-AMNIOTIC	Administration to the outside of the membrane enveloping the fetus. (FDA)
C66729	C38212	EXTRACORPOREAL	Administration outside of the body. (FDA)
C66729	C38215	INFILTRATION	Administration that results in substances passing into tissue spaces or into cells. (FDA)
C66729	C38216	RESPIRATORY (INHALATION)	Administration within the respiratory tract by inhaling orally or nasally for local or systemic effect. (FDA)
C66729	C38217	INTRACORONAL, DENTAL	Administration of a drug within a portion of a tooth which is covered by enamel and which is separated from the roots by a slightly constricted region known as the neck. (FDA)
C66729	C38218	INTRACORONARY	Administration within the coronary arteries. (FDA)
C66729	C38219	INTERSTITIAL	Administration to or in the interstices of a tissue. (FDA)
C66729	C38220	INTRA-ABDOMINAL	Administration within the abdomen. (FDA)
C66729	C38221	INTRA-AMNIOTIC	Administration within the amnion. (FDA)
C66729	C38222	INTRA-ARTERIAL	Administration within an artery or arteries. (FDA)
C66729	C38223	INTRA-ARTICULAR	Administration within a joint. (FDA)
C66729	C38224	INTRABILIARY	Administration within the bile, bile ducts or gallbladder. (FDA)
C66729	C38225	INTRABRONCHIAL	Administration within a bronchus. (FDA)
C66729	C38226	INTRABURSAL	Administration within a bursa. (FDA)
C66729	C38227	INTRACARDIAC	Administration within the heart. (FDA)
C66729	C38228	INTRACARTILAGINOUS	Administration within a cartilage; endochondral. (FDA)
C66729	C38229	INTRACAUDAL	Administration within the cauda equina. (FDA)
C66729	C38230	INTRACAVERNOUS	Administration within a pathologic cavity, such as occurs in the lung in tuberculosis. (FDA)
C66729	C38231	INTRACAVITARY	Administration within a non-pathologic cavity, such as that of the cervix, uterus, or penis, or such as that is formed as the result of a wound. (FDA)
C66729	C38232	INTRACEREBRAL	Administration within the cerebrum. (FDA)
C66729	C38233	INTRACISTERNAL	Administration within the cisterna magna cerebellomedularis. (FDA)
C66729	C38234	INTRACORNEAL	Administration within the cornea (the transparent structure forming the anterior part of the fibrous tunic of the eye). (FDA)
C66729	C38235	INTRACORPORUS CAVERNOSUM	Administration within the dilatable spaces of the corporus cavernosa of the penis. (FDA)
C66729	C38238	INTRADERMAL	Administration within the dermis. (FDA)
C66729	C38239	INTRADISCAL	Administration within a disc. (FDA)
C66729	C38240	INTRADUCTAL	Administration within the duct of a gland. (FDA)
C66729	C38241	INTRADUODENAL	Administration within the duodenum. (FDA)
C66729	C38242	INTRADURAL	Administration within or beneath the dura. (FDA)
C66729	C38243	INTRAEPIDERMAL	Administration within the epidermis. (FDA)
C66729	C38245	INTRAESOPHAGEAL	Administration within the esophagus. (FDA)
C66729	C38246	INTRAGASTRIC	Administration within the stomach. (FDA)
C66729	C38247	INTRAGINGIVAL	Administration within the gingivae. (FDA)
C66729	C38248	INTRAHEPATIC	Administration into the liver.
C66729	C38249	INTRAILEAL	Administration within the distal portion of the small intestine, from the jejunum to the cecum. (FDA)
C66729	C38250	INTRALESIONAL	Administration within or introduced directly into a localized lesion. (FDA)
C66729	C38251	INTRALUMINAL	Administration within the lumen of a tube. (FDA)
