CODELIST_ID	TERM_ID	TERM_NAME	TERM_DEFINITION
C77530	C106538	LEWIS	Derived from Wistar stock by the laboratory of Dr. Lewis at the Wistar Institute in the 1940s and 1950s, the Lewis is a white albino rat with genotype a, TyrC. The Lewis rat has a MHC haplotype of RT1A'. (NCI)
C77530	C106549	NIH SLA MINIATURE SWINE	An inbred strain of miniature swine developed by Sachs et al at the NIH in 1976 from a cross between a Hormel pig and a Vita Vet miniature pig. (NCI)
C77530	C106572	SUFFOLK	A strain of sheep originally derived in England in the 1880s from a cross between a Southdown ram and a Norfolk Horned ewe. The Suffolk sheep has a white-colored body, black face and legs, and has a wool type of medium. (NCI)
C77530	C106573	SWISS WEBSTER	Derived from inbreeding of Swiss mice at the Rockefeller Institute in 1926 by Dr. Leslie Webster, the Swiss Webster is a white albino mouse with genotype TyrC. The superior nurturing ability of the Swiss Webster makes it ideal for embryo transfers. (NCI)
C77530	C114342	LISTER HOODED	This rat comes from Lister stock at the Lister Institute in the 1920s, but the derivation origin is unknown. It has a white body coat color and black coat color over the head.
C77530	C114344	NEW ZEALAND	One of the larger rabbit breeds, the New Zealand was derived by Don Johnson in 1916 by crossing unknown breeds. This rabbit weighs between 9-12 lbs. fully grown and may come in a variety of coat colors.
C77530	C117981	CORNISH CROSS	Derived from a cross between the commercial Cornish chicken and a White Plymouth Rock chicken, this breed grows rapidly and reaches 4-6 pounds in 6 weeks. (NCI)
C77530	C117982	DOMESTIC	The name for a domesticated animal that does not have a pedigree nor belong to a specific breed. (NCI)
C77530	C122234	BS	Developed by Dr. Carl Hansen at the NIH, this strain was derived from a cross between NIH Swiss and C57BL/6N mice. The Black Swiss mouse has genotype Tyrp1B, (a) and is homozygous for the rd1 mutation of the Pde6b gene. (NCI)
C77530	C122235	db/db	The diabetic mutant mouse was derived from a spontaneous mutation in a C57BL/K progenitor mouse at the Jackson Laboratory in 1966. The db/db mouse is characterized by abnormal fat deposition at 3-4 weeks of age followed by hyperglycemia, glucosuria, polyuria and the development of lesions in the islets of Langerhans. (NCI)
C77530	C122236	ob/ob	The obese mutant mouse was derived from a spontaneous mutation in a V/Le progenitor mouse at the Jackson Laboratory in 1949. (NCI)
C77530	C122237	RNU	An athymic, nude, outbred rat strain derived from crosses of 8 inbred rat strains at the laboratories of the NIH animal genetic resource in 1979-1980.
C77530	C123644	CB17 SCID BEIGE	A CB17 SCID mouse with an additional mutation on the Lyst gene which results in defective natural killer cells.
C77530	C14232	CYNOMOLGUS	The macaque, Macaca fascicularis.
C77530	C14233	RHESUS	A pale brown macaque, Macaca mulatta.
C77530	C14239	NU	A hairless mutant mouse with thymic hypoplasia, lacking T-cells. They are unable to reject transplants. (NCI)
C77530	C14390	WISTAR FURTH	A Wistar substrain derived by Furth (1945), this inbred rat strain is a white albino with pink eyes, genotype c. The Wistar Furth rat carries a heteropyenotic Y chromosome that is used as a cellular marker.
C77530	C14392	ACI	Derived by Curtiss and Dunning (1926) at Columbia University by crossing an inbred August rat with an inbred 2331 Copenhagen rat, to Heston (1945) and then to the NIH (1950). The ACI rat strain is agouti in color with white belly and feet, and genotype A hi. (NCI)
C77530	C14395	BROWN NORWAY	The common rat, Rattus norvegicus.
C77530	C14396	BUFFALO	Derived from Buffalo stock of H. Morris to the NIH in 1950 and disseminated from Charles River since 1998, the Buffalo is a white albino rat, genotype c.
C77530	C14401	FISCHER 344	Derived by Curtiss and Dunning (1920) at Columbia University and disseminated to Heston (1949) and then to the NIH (1951). The Fischer 344 rat has an albino coat and genotype c.
C77530	C14412	SHR	The spontaneous hypertensive rat was derived by Okamoto at the Kyoto school of medicine (1963) from a cross between an outbred Wistar Kyoto male with a significant elevation of blood pressure and a female Wistar Kyoto with elevated blood pressure. SHR rats develop hypertension spontaneously without exception at the age of 7-15 weeks with a systolic blood pressure plateau of about 200 mmHg. The genetic basis is polygenic, with at least three major genes involved (Tanase and Suzuki 1971, Yen et al 1974).
