CODELIST_ID	TERM_ID	TERM_NAME	TERM_DEFINITION
C67154	C100122	Pepsinogen	A measurement of the pepsinogen in a biological specimen.
C67154	C100418	Sideroblast	A measurement of the sideroblasts (nucleated erythroblasts with iron granules in the cytoplasm) in a biological specimen.
C67154	C100419	Ringed Sideroblasts	A measurement of the ringed sideroblasts (abnormal nucleated erythroblasts with a large number of iron deposits in the perinuclear mitochondria, forming a ring around the nucleus) in a biological specimen.
C67154	C100420	Tricyclic Antidepressants	A measurement of tricyclic antidepressants in a biological specimen.
C67154	C100422	Ecarin Clotting Time	A measurement of the activity of thrombin inhibitors in a biological specimen based on the generation of meizothrombin.
C67154	C100423	Complement CH50	A measurement of the complement required to lyse 50 percent of red blood cells in a biological specimen.
C67154	C100424	Platelet Hematocrit	A relative measurement (ratio or percentage) of the proportion of the volume of blood taken up by platelets.
C67154	C100425	HDL Cholesterol/LDL Cholesterol Ratio	A relative measurement (ratio or percentage) of the amount of HDL cholesterol compared to LDL cholesterol in a biological specimen.
C67154	C100426	Beta-Trace Protein	A measurement of the beta-trace protein in a biological specimen.
C67154	C100427	Apolipoprotein C2	A measurement of the apolipoprotein C2 in a biological specimen.
C67154	C100428	Apolipoprotein J	A measurement of the apolipoprotein J in a biological specimen.
C67154	C100429	Alpha-1 Acid Glycoprotein	A measurement of the alpha-1 acid glycoprotein in a biological specimen.
C67154	C100430	Alanine Aminopeptidase	A measurement of the alanine aminopeptidase in a biological specimen.
C67154	C100431	Chemokine (C-X-C Motif) Receptor 3	A measurement of the CXCR3, chemokine (C-X-C motif) receptor 3, in a biological specimen.
C67154	C100432	Ceruloplasmin	A measurement of ceruloplasmin in a biological specimen.
C67154	C100433	Kidney Injury Molecule-1	A measurement of the kidney injury molecule-1 (Kim-1) in a biological specimen.
C67154	C100434	Non-Prostatic Acid Phosphatase	A measurement of the non-prostatic acid phosphatase in a biological specimen.
C67154	C100435	Prealbumin	A measurement of the prealbumin in a biological specimen.
C67154	C100436	Protein S	A measurement of the total protein S in a biological specimen.
C67154	C100437	Retinol Binding Protein	A measurement of the total retinol binding protein in a biological specimen.
C67154	C100438	Soluble Transferrin Receptor	A measurement of the soluble transferrin receptor in a biological specimen.
C67154	C100439	Iohexol Clearance	A measurement of the volume of serum or plasma that would be cleared of Iohexol through excretion for a specified unit of time.
C67154	C100440	EDTA Clearance	A measurement of the volume of serum or plasma that would be cleared of Ethylenediamine tetraacetic acid (EDTA) through its excretion for a specified unit of time.
C67154	C100441	DTPA Clearance	A measurement of the volume of serum or plasma that would be cleared of Diethylenetriamine pentaacetate (DTPA) through its excretion for a specified unit of time.
C67154	C100442	Immature Neutrophils/Leukocytes	A relative measurement (ratio or percentage) of the immature neutrophils to leukocytes in a biological specimen.
C67154	C100443	Immature Lymphocytes/Leukocytes	A relative measurement (ratio or percentage) of the immature lymphocytes to leukocytes in a biological specimen.
C67154	C100444	Immature Lymphocytes	A measurement of the immature lymphocytes in a biological specimen.
C67154	C100445	Immature Granulocytes/Leukocytes	A relative measurement (ratio or percentage) of the immature granulocytes to leukocytes in a biological specimen (for example a bone marrow specimen).
C67154	C100446	Proerythroblast	A measurement of the proerythroblasts in a biological specimen.
C67154	C100448	Free Glycerol	A measurement of the amount of unbound glycerol in a biological specimen.
C67154	C100449	GFR from Beta-Trace Protein Adj for BSA	A measurement of the glomerular filtration rate (GFR) based on the clearance of beta-trace protein after adjusting it for the body surface area.
C67154	C100450	GFR from B-2 Microglobulin Adj for BSA	A measurement of the glomerular filtration rate (GFR) based on the clearance of beta-2 microglobulin after adjusting it for the body surface area.
C67154	C100452	Ova and Parasite	A measurement of the parasites and ova in a biological specimen.
C67154	C100453	Plasmodium	Examination of a biological specimen to detect the presence of any protozoan belonging to the Plasmodium genus.
C67154	C100454	Liver Kidney Microsomal Type 1 IgG Ab	A measurement of the liver kidney microsomal type 1 IgG antibodies in a biological specimen.
C67154	C100455	Liver Kidney Microsomal Type 1 IgM Ab	A measurement of the liver kidney microsomal type 1 IgM antibodies in a biological specimen.
C67154	C100456	Liver Kidney Microsomal Type 1 IgA Ab	A measurement of the liver kidney microsomal type 1 IgA antibodies in a biological specimen.
C67154	C100457	Ribonucleoprotein Antibody	A measurement of the ribonucleoprotein antibody in a biological specimen.
C67154	C100458	Scl-70 Antibody	A measurement of the total Scl-70 antibody in a biological specimen.
C67154	C100459	Jo-1 Antibody	A measurement of the Jo-1 antibody in a biological specimen.
C67154	C100460	HLA-B27 Antigen	A measurement of the human leukocyte antigen B27 (HLA-B27) in a biological specimen.
C67154	C100461	Alpha-1 Microglobulin	A measurement of the alpha-1 microglobulin in a biological specimen.
C67154	C100462	Alpha-1 Microglobulin/Creatinine	A relative measurement (ratio or percentage) of the alpha-1 microglobulin to creatinine in a biological specimen.
C67154	C100463	DNase-B Antibody	A measurement of Dnase-B antibody in a biological specimen.
C67154	C100464	Chlamydia trachomatis IgA Antibody	A measurement of the Chlamydia trachomatis IgA antibody in a biological specimen.
