CODELIST_ID	TERM_ID	TERM_NAME	TERM_DEFINITION
C85493	C102356	Accumulation Ratio AUCTAU	The area under the curve (AUCTAU) at steady state divided by the area under the curve (AUCTAU) over the initial dosing interval.
C85493	C102357	Accumulation Ratio Cmax	The maximum concentration at steady state divided by the maximum concentration during the initial dosing interval.
C85493	C102358	Accumulation Ratio Cmin	The minimum concentration at steady state divided by the minimum concentration during the initial dosing interval.
C85493	C102359	Amt Rec from T1 to T2	The cumulative amount recovered from the specimen type specified in PPSPEC over the interval from T1 to T2.
C85493	C102360	Amt Rec from T1 to T2 Norm by BMI	The cumulative amount recovered from the specimen type specified in PPSPEC over the interval from T1 to T2 divided by body mass index.
C85493	C102361	Amt Rec from T1 to T2 Norm by SA	The cumulative amount recovered from the specimen type specified in PPSPEC over the interval from T1 to T2 divided by surface area.
C85493	C102362	Amt Rec from T1 to T2 Norm by WT	The cumulative amount recovered from the specimen type specified in PPSPEC over the interval from T1 to T2 divided by weight.
C85493	C102363	Amt Rec Over Dosing Interval	The cumulative amount recovered from the specimen type specified in PPSPEC between doses (TAU).
C85493	C102364	Amt Rec Over Dosing Interval Norm by BMI	The cumulative amount recovered from the specimen type specified in PPSPEC between doses (TAU) divided by body mass index.
C85493	C102365	Amt Rec Over Dosing Interval Norm by SA	The cumulative amount recovered from the specimen type specified in PPSPEC between doses (TAU) divided by surface area.
C85493	C102366	Amt Rec Over Dosing Interval Norm by WT	The cumulative amount recovered from the specimen type specified in PPSPEC between doses (TAU) divided by weight.
C85493	C102367	Conc by BMI	The concentration divided by body mass index.
C85493	C102368	Conc by Dose	The concentration divided by dose.
C85493	C102369	Conc by SA	The concentration divided by surface area.
C85493	C102370	Conc by WT	The concentration divided by weight.
C85493	C102371	Vol Dist Initial	The initial volume of distribution for a substance administered by bolus intravascular dosing.
C85493	C102372	Vol Dist Initial Norm by BMI	The initial volume of distribution for a substance administered by bolus intravascular dosing divided by the body mass index.
C85493	C102373	Vol Dist Initial Norm by Dose	The initial volume of distribution for a substance administered by bolus intravascular dosing divided by the dose.
C85493	C102374	Vol Dist Initial Norm by SA	The initial volume of distribution for a substance administered by bolus intravascular dosing divided by the surface area.
C85493	C102375	Vol Dist Initial Norm by WT	The initial volume of distribution for a substance administered by bolus intravascular dosing divided by the weight.
C85493	C102376	Nonrenal CL	The total clearance of a substance from the blood less the renal clearance.
C85493	C102377	Vol Dist Steady State Obs Norm by BMI	The volume of distribution at steady state based on the observed CLST for a substance administered by intravascular dosing divided by the body mass index.
C85493	C102378	Vol Dist Steady State Obs Norm by Dose	The volume of distribution at steady state based on the observed CLST for a substance administered by intravascular dosing divided by the dose.
C85493	C102379	Vol Dist Steady State Obs Norm by SA	The volume of distribution at steady state based on the observed CLST for a substance administered by intravascular dosing divided by the surface area.
C85493	C102380	Vol Dist Steady State Obs Norm by WT	The volume of distribution at steady state based on the observed CLST for a substance administered by intravascular dosing divided by the weight.
C85493	C102381	Peak Trough Ratio	The maximum concentration during a dosing interval divided by the concentration at the end of the dosing interval.
C85493	C102382	Pct Rec from T1 to T2	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, over the interval between T1 and T2.
C85493	C102383	Pct Rec from T1 to T2 Norm by BMI	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, over the interval between T1 and T2 divided by body mass index.
C85493	C102384	Pct Rec from T1 to T2 Norm by SA	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, over the interval between T1 and T2 divided by surface area.
C85493	C102385	Pct Rec from T1 to T2 Norm by WT	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, over the interval between T1 and T2 divided by weight.
C85493	C102386	Pct Rec Over Dosing Interval	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, between doses (TAU).
C85493	C102387	Pct Rec Over Dosing Interval Norm by BMI	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, between doses (TAU) divided by the body mass index.
C85493	C102388	Pct Rec Over Dosing Interval Norm by SA	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, between doses (TAU) divided by surface area.
C85493	C102389	Pct Rec Over Dosing Interval Norm by WT	The percentage of the administered dose that is recovered from the specimen type specified in PPSPEC, between doses (TAU) divided by weight.
C85493	C102390	Vol Dist Steady State Pred Norm by BMI	The volume of distribution at steady state based on the predicted CLST for a substance administered by intravascular dosing divided by the body mass index.
C85493	C102391	Vol Dist Steady State Pred Norm by Dose	The volume of distribution at steady state based on the predicted CLST for a substance administered by intravascular dosing divided by the dose.
C85493	C102392	Vol Dist Steady State Pred Norm by SA	The volume of distribution at steady state based on the predicted CLST for a substance administered by intravascular dosing divided by the surface area.
